0.5	6.75	6.02
1	6.77	6.02
1.5	6.79	6.02
2	6.81	6.03
2.5	6.81	6.04
3	6.79	6.04
3.5	6.77	6.05
4	6.73	6.05
4.5	6.68	6.04
5	6.61	6.03
5.5	6.54	6.01
6	6.47	5.99
6.5	6.4	5.96
7	6.33	5.93
7.5	6.29	5.89
8	6.27	5.86
8.5	6.26	5.84
9	6.27	5.82
9.5	6.29	5.8
10	6.32	5.8
10.5	6.35	5.79
11	6.39	5.8
11.5	6.43	5.81
12	6.46	5.83
12.5	6.47	5.84
13	6.46	5.86
13.5	6.45	5.87
14	6.42	5.88
14.5	6.37	5.88
15	6.33	5.87
15.5	6.26	5.86
16	6.19	5.84
16.5	6.14	5.81
17	6.11	5.79
17.5	6.09	5.76
18	6.08	5.74
18.5	6.09	5.72
19	6.11	5.71
19.5	6.14	5.71
20	6.18	5.71
20.5	6.23	5.73
21	6.28	5.74
21.5	6.33	5.75
22	6.37	5.78
22.5	6.39	5.8
23	6.41	5.82
23.5	6.4	5.84
24	6.37	5.86
24.5	6.34	5.86
25	6.3	5.86
25.5	6.24	5.85
26	6.19	5.84
26.5	6.13	5.82
27	6.09	5.8
27.5	6.06	5.77
28	6.05	5.75
28.5	6.07	5.73
29	6.09	5.73
29.5	6.11	5.72
30	6.16	5.72
30.5	6.2	5.73
31	6.24	5.74
31.5	6.29	5.76
32	6.34	5.78
32.5	6.37	5.81
33	6.38	5.83
33.5	6.38	5.85
34	6.36	5.86
34.5	6.33	5.87
35	6.29	5.87
35.5	6.23	5.86
36	6.18	5.86
36.5	6.12	5.84
37	6.09	5.82
37.5	6.07	5.79
38	6.05	5.77
38.5	6.07	5.76
39	6.09	5.75
39.5	6.13	5.75
40	6.17	5.75
40.5	6.21	5.76
41	6.25	5.77
41.5	6.3	5.79
42	6.34	5.82
42.5	6.35	5.83
43	6.35	5.86
43.5	6.33	5.87
44	6.31	5.88
44.5	6.27	5.88
45	6.22	5.88
45.5	6.15	5.86
46	6.18	5.85
46.5	6.05	5.83
47	6	5.8
47.5	5.98	5.77
48	5.98	5.75
48.5	5.99	5.73
49	6.01	5.72
49.5	6.04	5.72
50	6.08	5.72
50.5	6.13	5.73
51	6.16	5.74
51.5	6.22	5.76
52	6.26	5.78
52.5	6.27	5.79
53	6.28	5.82
53.5	6.26	5.83
54	6.23	5.84
54.5	6.2	5.84
55	6.15	5.84
55.5	6.08	5.82
56	6.02	5.8
56.5	5.98	5.79
57	5.94	5.76
57.5	5.92	5.73
58	5.91	5.71
58.5	5.93	5.7
59	5.95	5.68
59.5	5.99	5.68
60	6.03	5.69
60.5	6.09	5.7
61	6.14	5.72
61.5	6.19	5.74
62	6.23	5.76
62.5	6.25	5.79
63	6.25	5.81
63.5	6.24	5.82
64	6.21	5.83
64.5	6.18	5.84
65	6.13	5.84
65.5	6.07	5.82
66	6.02	5.81
66.5	5.97	5.78
67	5.92	5.76
67.5	5.91	5.74
68	5.91	5.71
68.5	5.91	5.7
69	5.93	5.69
69.5	5.97	5.68
70	6.01	5.68
