0.5	11.6	4.25
1	11.6	4.25
1.5	11.7	4.35
2	11.6	4.4
2.5	11.5	4.5
3	11.4	4.55
3.5	11.3	4.6
4	11.1	4.6
4.5	11	4.5
5	10.8	4.4
5.5	10.5	4.15
6	10.4	3.95
6.5	10.4	3.75
7	10.4	3.5
7.5	10.5	3.35
8	10.6	3.2
8.5	10.7	3.05
9	10.8	2.95
9.5	10.9	2.9
10	11.1	2.9
10.5	11.2	2.95
11	11.3	3.05
11.5	11.3	3.15
12	11.3	3.25
12.5	11.2	3.35
13	11.1	3.45
13.5	11	3.5
14	10.9	3.5
14.5	10.77	3.5
15	10.6	3.4
15.5	10.3	3.2
16	10.2	3.05
16.5	10.2	2.85
17	10.2	2.7
17.5	10.3	2.5
18	10.4	2.35
18.5	10.5	2.25
19	10.7	2.25
19.5	10.8	2.15
20	10.9	2.15
20.5	11.1	2.3
21	11.2	2.4
21.5	11.2	2.65
22	11.1	2.75
22.5	11	2.85
23	10.9	2.9
23.5	10.8	2.95
24	10.6	2.95
24.5	10.5	2.9
25	10.3	2.8
25.5	10	2.5
26	10	2.35
26.5	10	2.15
27	10.1	1.95
27.5	10.1	1.75
28	10.2	1.6
28.5	10.4	1.55
29	10.5	1.5
29.5	10.6	1.5
30	10.7	1.5
30.5	10.9	1.65
31	11	1.7
31.5	11	1.85
32	11	2
32.5	10.9	2.1
33	10.8	2.25
33.5	10.8	2.3
34	10.6	2.4
34.5	10.5	2.35
35	10.4	2.35
35.5	9.9	1.95
36	9.8	1.8
36.5	9.8	1.55
37	9.9	1.35
37.5	10	1.2
38	10.1	1.1
38.5	10.2	1
39	10.3	0.9
39.5	10.4	0.85
40	10.5	0.9
