0.50	13.40	8.05
1.00	13.40	8.05
1.50	13.30	8.15
2.00	13.10	8.20
2.50	12.90	8.20
3.00	12.70	8.15
3.50	12.40	8.00
4.00	12.20	7.85
4.50	11.90	7.60
5.00	11.70	7.35
5.50	10.90	6.45
6.00	10.80	6.00
6.50	10.70	5.65
7.00	10.80	5.20
7.50	10.90	4.80
8.00	11.00	4.60
8.50	11.10	4.45
9.00	11.20	4.35
9.50	11.30	4.25
10.00	11.40	4.20
10.50	11.60	4.25
11.00	11.60	4.25
11.50	11.70	4.35
12.00	11.60	4.40
12.50	11.50	4.50
13.00	11.40	4.55
13.50	11.30	4.60
14.00	11.10	4.60
14.50	11.00	4.50
15.00	10.80	4.40
15.50	10.50	4.15
16.00	10.40	3.95
16.50	10.40	3.75
17.00	10.40	3.50
17.50	10.50	3.35
18.00	10.60	3.20
18.50	10.70	3.05
19.00	10.80	2.95
19.50	10.90	2.90
20.00	11.10	2.90
20.50	11.20	2.95
21.00	11.30	3.05
21.50	11.30	3.15
22.00	11.30	3.25
22.50	11.20	3.35
23.00	11.10	3.45
23.50	11.00	3.50
24.00	10.90	3.50
24.50	10.77	3.50
25.00	10.60	3.40
25.50	10.30	3.20
26.00	10.20	3.05
26.50	10.20	2.85
27.00	10.20	2.70
27.50	10.30	2.50
28.00	10.40	2.35
28.50	10.50	2.25
29.00	10.70	2.25
29.50	10.80	2.15
30.00	10.90	2.15
30.50	11.10	2.30
31.00	11.20	2.40
31.50	11.20	2.65
32.00	11.10	2.75
32.50	11.00	2.85
33.00	10.90	2.90
33.50	10.80	2.95
34.00	10.60	2.95
34.50	10.50	2.90
35.00	10.30	2.80
35.50	10.00	2.50
36.00	10.00	2.35
36.50	10.00	2.15
37.00	10.10	1.95
37.50	10.10	1.75
38.00	10.20	1.60
38.50	10.40	1.55
39.00	10.50	1.50
39.50	10.60	1.50
40.00	10.70	1.50
